timestamp_utc,funding_tx,operator,recipient,amount_bnb,in_signature_band,recipient_outcome
2026-07-16 04:17:44,0x243f8838ef3b01933ac9c7be171a1367b49d88b3225da357308f8a3022bc3a00,0x7c51bc888362a93dab88cdbb2d6b6baed2d74f6d,0x87404252bc2854a83fc6e79793433bfe86404e6f,0.00017228,yes,drained
2026-07-17 12:45:46,0x6482ccef022131cd0d889db2adbaf55f4a828cdc69770de7abc3c3809b2d364b,0x7c51bc888362a93dab88cdbb2d6b6baed2d74f6d,0x3ee6c3c8bca888ab0544c6733039e03dd8fac05a,0.00017755,yes,drained
2026-07-18 16:06:21,0x7b7954d00088cc58df20be8dbfd458d976acf318641dc988a5eda6402e0b9b30,0x7c51bc888362a93dab88cdbb2d6b6baed2d74f6d,0x54c140b97dcc4bb95db7a2f201d059e9ae092be3,0.00017542,yes,unknown
2026-07-21 09:25:37,0x769869a59d696aa40b49b08757d937d8ee8bed82bd75ff7ab1a40e9fdd8d5204,0x7c51bc888362a93dab88cdbb2d6b6baed2d74f6d,0xc8dfd2f39caea570d393ce584553cd65a0346eea,0.00017326,yes,unknown
2026-07-22 07:43:13,0xe882668239efb02f8a961131d5b40d19556afb99c8eb2918a286985492397fab,0x7c51bc888362a93dab88cdbb2d6b6baed2d74f6d,0x5814cfdeb0f02b96866ef6d8398371e366fce765,0.00017597,yes,unknown
2026-07-22 12:09:11,0x49e5bea2afca516c4daafd6d750fca3735517da15ba7768782ca5a830a785b1b,0x7c51bc888362a93dab88cdbb2d6b6baed2d74f6d,0x7ebb05700b321dd4d235ef471abd4e54ef868ffc,0.00017557,yes,drained
2026-07-22 12:09:32,0xd4165daae721d26297c5950ccfbe9d9ebfeabab6b6a50ea0e7ec071e9aef327b,0x7c51bc888362a93dab88cdbb2d6b6baed2d74f6d,0x7ebb05700b321dd4d235ef471abd4e54ef868ffc,0.00010000,no,drained
2026-07-24 05:21:38,0x7e0be8bf95df1465247b583d31bc99f79c18f8453e3ab2fea0540b8c711b80d2,0x7c51bc888362a93dab88cdbb2d6b6baed2d74f6d,0x0b3eb757bdca34fca031754491c153c932bbea3e,0.00017622,yes,unknown
2026-07-25 05:48:35,0x04af4b97ba040bc8b5f01133823579951f936dcaf9a419aa3253a1b7faa15569,0x7c51bc888362a93dab88cdbb2d6b6baed2d74f6d,0xc1e53aec7c2b419567900decf529db049cb13e09,0.00017716,yes,drained
2026-07-25 15:20:38,0x5559990550c29aed97c26c6cfb68b00bc14208fd7e42ba1b8b091429dcbfbe37,0x7c51bc888362a93dab88cdbb2d6b6baed2d74f6d,0x0efab895973b220cb536121af26bec7399c298da,0.00017629,yes,drained
2026-07-26 00:34:39,0x5ccb8d7733c48a916360046e63bb096b956b064cac67133e2de4fa72c9e814d1,0x7c51bc888362a93dab88cdbb2d6b6baed2d74f6d,0xe4fe5e66db727a46dda3d8eb9acc524d9684db2a,0.00017578,yes,drained
2026-07-26 10:07:58,0x43259e08b57ffb43153fc8849279d9e6f8ecac288657bf6d4369a6e256bcb5a8,0x7c51bc888362a93dab88cdbb2d6b6baed2d74f6d,0xe973ad7531ada966746936cf76084aaa8684374b,0.00017518,yes,drained
2026-07-26 16:18:49,0x5bfe06e4ba88f073d7f8cdf4567fe9511006950a005ea093d46b4c541b9f0226,0x7c51bc888362a93dab88cdbb2d6b6baed2d74f6d,0x83ab6ae798c0b1031a2353f4153dc39e70a19ab8,0.00017466,yes,drained
2026-07-27 13:54:23,0x584771676fb7d7b21af71e041e535710b67591415463a984ad772e1509698455,0x7c51bc888362a93dab88cdbb2d6b6baed2d74f6d,0x37337b4f3e29da147026ca9d4223edfbaf4a79f1,0.00017387,yes,drained
2026-07-27 23:32:36,0x8623aaeae66d4a4f703bf6ad36e9f9a4f048cae26d0e4a9e796e2a838a7f8271,0x7c51bc888362a93dab88cdbb2d6b6baed2d74f6d,0x9b22aa6494d6c26e36bc0aa457269ab91f4ee906,0.00017643,yes,drained
2026-07-28 12:09:07,0x31b1f35c99da2e878be7b9a0e6f0270cef87855e8d8de0c38fe2e30395697e8f,0x7c51bc888362a93dab88cdbb2d6b6baed2d74f6d,0x0b13ed0eef7b0058f5c82d71847032de75f07c4f,0.00017662,yes,drained
2026-07-30 00:50:48,0x61f2cd07aae70f4767d110b5bc9f555004be6e8607024922c85119a7644b9792,0x7c51bc888362a93dab88cdbb2d6b6baed2d74f6d,0x5066825c5d1cb5d85d0acbe6f7931f152afa42c7,0.00017500,yes,drained
2026-07-30 01:37:29,0x8ab6572edc86a0eb638cb011ecc3ce08ba2bfa7d1534925a0e9d34c98dbf4909,0x7c51bc888362a93dab88cdbb2d6b6baed2d74f6d,0x25c761a1f03039c0876a295ef1a3f8020870884d,0.00017449,yes,drained
2026-08-02 02:20:15,0xbf88d6166c72c6a3983b8cb775e7f0878e05cdabd56a9c050790ef31bf0b5e07,0x7c51bc888362a93dab88cdbb2d6b6baed2d74f6d,0xf08ddde735643ccdf922dd7f8a47b350fe56c743,0.00017258,yes,pipeline_not_swept
2026-08-05 17:27:49,0xd77ad15a38ed9195472636ce96d0d7223510047d468f8a611deadb82e4592ae2,0x7c51bc888362a93dab88cdbb2d6b6baed2d74f6d,0xecc6ef652667496aec74d0646ad22609b018db3d,0.00016703,yes,pipeline_not_swept
2026-08-07 02:58:09,0x71e8db67f7097554d0629e793ca5d00b9234930ef42fe6d147fbbe70edbf814e,0x7c51bc888362a93dab88cdbb2d6b6baed2d74f6d,0x32c24318be3863467fec944ca0058dfe97563bb9,0.00016863,yes,pipeline_not_swept
2026-08-08 12:55:50,0xd836cf6f0f39437024105a8ca43bc1f63877849899f54194d272d969c8aade30,0x7c51bc888362a93dab88cdbb2d6b6baed2d74f6d,0xb9c6a49e782d7a742263333a4164d577e75ba107,0.00016799,yes,pipeline_not_swept
